zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag_emission,hashtag_candidat,Publisher,twitch_id,twitter_pathfile,titre,list_youtube_id
HNBSN7RC,,,2022-03-28,tvBroadcast,Questions de Confiance : Pécresse,"Pécresse, Valérie",Questions de Confiance,,#Pécresse2022|#QuestionsDeConfiance|#Pécresse,,RMC/BFMTV,,,questionsdeconfiancepécresse,
VDLTAI3P,,,2022-03-29,radioBroadcast,L'invité de 8h20 : Hidalgo,"Hidalgo, Anne",L'invité de 8h20,,#Le79Inter|#Hidalgo2022,,France Inter,,,linvitéde8h20hidalgo,
CUUJUFDI,,,2022-03-30,tvBroadcast,"2022, le compte à rebours: Pécresse, Lassalle","Pécresse, Valérie; Lassalle, Jean",le compte à rebours,https://www.youtube.com/watch?v=PfSnN5oGW74 (Pécresse),#CompteARebours2022|#lecomptearebours2022|#LaFranceAuthentique|#JeanLassalle2022|#Pécresse2022 #Pécresse2022 #jeanlassalle2022,,France 2,,files/twitter/2022-03-30-comptearebours.xlsx,2022lecompteàrebourspécresselassalle,
LQFQ2CER,,,2022-03-30,radioBroadcast,L'invité de 8h20 : Mélenchon,"Mélenchon, Jean-Luc",L'invité de 8h20,,#Le79Inter|#UnionPopulaire|#Mélenchon2022,,France Inter,,,linvitéde8h20mélenchon,497b11df-0991-4b05-9310-29a1b590c296
8YJBBJQK,,,2022-03-30,tvBroadcast,Questions de Confiance : Zemmour,"Zemmour, Eric",Questions de Confiance,,#QuestionsDeConfiance|#ZoZZ|#ZemmourPresident|#Zemmour2022|#ZemmourBFM|#ZemmourSevran,,RMC/BFMTV,,,questionsdeconfiancezemmour,
56LWKQ88,,,2022-03-31,tvBroadcast,"Elysée 2022 : (multiple) Mélenchon, Lassalle, Le Pen, Arthaud, Roussel, Dupont-Aignan","Mélenchon, Jean-Luc; Lassalle, Jean; Le Pen, Marine; Arthaud, Nathalie; Roussel, Fabien; Dupont-Aignan, Nicolas",Elysée 2022,,#Elysée2022|#JeanLassalle2022|#LaFranceAuthentique|#Roussel|#Roussel2022|#JLMPrésident|#Mélenchon2022|#MélenchonVaGagner|#UnionPopulaire|#Arthaud|#Arthaud2022|#2022NDA|#MLaFrance|#ChoisirLaLiberté|#MLP2022|#MarinePresidente,,France 2,,files/twitter/2022-03-31-elysee.xlsx,elysée2022multiplemélenchonlassallelepenarthaudrousseldupontaignan,eb51ce07-8d9e-4c5e-abb8-c1e93fe63cd0|0ac70cc7-2074-4ab5-ba79-65f0c72b0008
5KYAU27N,,,2022-03-31,radioBroadcast,L'invité de 8h20 : Roussel,"Roussel, Fabien",L'invité de 8h20,,#Le79Inter|#Roussel2022|#LesJoursHeureux,,France Inter,,,linvitéde8h20roussel,e67d49fd-6e78-4c31-b271-9ce21fae7156
NYP84GXF,,,2022-04-01,radioBroadcast,L'invité de 8h20 : Arthaud,"Arthaud, Nathalie",L'invité de 8h20,,#Le79Inter|#Arthaud|#Arthaud2022,,France Inter,,,linvitéde8h20arthaud,2af83c86-cfd7-43af-ba34-4d357e24c205
HXGA6IFZ,,,2022-04-01,tvBroadcast,Questions de Confiance : Lassalle,"Lassalle, Jean",Questions de Confiance,,#ApollineMatin|#QuestionsDeConfiance|#JeanLassalle2022|#TourBusJL2022|#LaFranceAuthentique,,RMC/BFMTV,,,questionsdeconfiancelassalle,
WK8KU4G6,,,2022-04-02,radioBroadcast,L'invité de 8h20 : Lassalle,"Lassalle, Jean",L'invité de 8h20,,#Le69Inter|#JeanLassalle2022|#LaFranceAuthentique|#TourBusJL2022|,,France Inter,,,linvitéde8h20lassalle,5b96cb16-b6bd-4b76-92fa-a5d46d53f0d3
